"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr"
"050802A",1.71,1.47712125471966,-5.69897000433602,0.439332693830263,1.54,21.2588359497469,-11.61,2.91,0.91,0.72,0.0694871171045203,0.13,0.08,0.09,0.01,0.03
"050820A",2.61,2.38861622095146,-5.46344155742847,0.389166084364532,1.25,21.6196452436817,-11.97,4.46,1.02,0.72,0.0407705023827543,0.12,0.01,0.02,0.01,0.03
"050824A",0.83,1.35372393758895,-6.57511836336893,-0.301029995663981,2.76,21.6909072086586,-12.5,3.65,0.65,0.45,0.130288344570976,0.38,0.03,0.06,0.01,0.18
"050904A",6.295,2.25904409357523,-5.31605286924849,-0.207608310501746,1.25,22.3938856786211,-14.18,5.539472,2.332396,1,0.119080745037988,0.07,0.12808,0.069062,0.187665,0.09
"050908A",3.34,1.2397998184471,-6.31605286924849,-0.154901959985743,1.88,21.4198962972673,-12.61,3.26,0.82,1.8,0.0868588963806504,0.17,0.08,0.13,0.08,0.09
"050922C",2.2,0.657055852857104,-5.79048498545737,0.860936620700094,1.37,21.449308659474,-11.65,3.77,1.25,0.56,0.0191424565026227,0.06,0.01,0.01,0.01,0.01
"051028A",3.6,1.20411998265592,-6.04575749056067,0.462397997898956,1.72,21.2648178230095,-13.0714,4.04085,1.02823,1.1,0.109292651074991,0.06,0.2287,0.246865,0.1334,0.18
"051109A",2.35,1.57089303621839,-5.65757731917779,0.595496221825574,1.51,21.9705723346399,-12.14,3.74,0.81,0.96,0.0760566478460009,0.2,0.03,0.04,0.02,0.04
"051111A",1.55,1.77655591070326,-5.38933983691012,0.424881636631067,1.32,21.7919655917565,-10.91,2.77,1,0.76,0.0342864064660462,0.06,0.03,0.04,0.04,0.07
"060124A",2.3,1.13449585583467,-6.33629907461035,-0.0506099933550872,1.84,21.917264401322,-11.66,3.63,0.88,0.73,0.0878348390366127,0.19,0.03,0.04,0.01,0.08
"060206A",4.05,0.88024177589548,-6.08039897621589,0.445604203273598,1.2,22.3396640643506,-12.0107,4.293881,1.255402,0.77,0.0264623877862196,0.3,0.004353,0.004134,0.00376,0.01
"060210A",3.91,2.40654018043396,-5.1157712303674,0.434568904034199,1.53,22.3877421027189,-12.4544,3.243171,1.327381,0.99,0.0447067849018053,0.09,0.039346,0.035759,0.053451,0.03
"060418A",1.49,2.15836249209525,-5.07935499859321,0.81424759573192,1.7,21.6536330931589,-10.4315,2.578446,1.179912,0.69,0.0233133540898985,0.06,0.021082,0.02144,0.0063,0.11
"060512A",0.44,0.928907690243953,-6.6345120151091,-0.0555173278498314,2.48,21.3479206443873,-12.44,3.64,0.74,0.68,0.0987032913416482,0.3,0.03,0.05,0.02,0.05
"060526A",3.21,2.47444937974578,-5.89962945488244,0.222716471147583,2.01,21.7642007990184,-12.2,4.19,1.12,0.65,0.0468101836781948,0.24,0.01,0.01,0.01,0.06
"060605A",3.78,2.05990405588441,-6.15676722190199,-0.337242168318426,1.55,21.7733380275047,-11.3667,3.218963,1.021558,0.94,0.113294212670414,0.2,0.041244,0.054576,0.072783,0.5
"060607A",3.07,1.99694924849538,-5.59345981956604,0.146128035678238,1.47,21.7961460714919,-11.78,3.53,1.25,0.72,0.0403273447481591,0.08,0.03,0.04,0.05,0.27
"060708A",1.92,1.00860017176192,-6.30627305107635,0.287801729930226,1.68,21.9310040145614,-11.6007,3.15661,0.820982,0.88,0.0313408389002347,0.12,0.0317,0.0831,0.033617,0.05
"060714A",2.71,2.06066007397401,-5.54821356447571,0.107209969647868,1.93,22.01259260165,-12.8093,4.218794,1.123968,0.44,0.044108033318299,0.11,0.046522,0.074159,0.054273,0.04
"060729A",0.54,2.06201759885711,-5.58335949266172,0.0681858617461616,1.75,21.4678876805073,-12.15,5.07,1.26,0.67,0.0482549424336947,0.14,0.03,0.03,0.06,0.07
"060904B",0.7,2.2341881478532,-5.79048498545737,0.387389826338729,1.64,21.5912282717963,-12.1854,3.923904,1.19811,1.11,0.0373778037703618,0.14,0.018294,0.024033,0.027284,0.1
"060927A",5.46,1.35295391171009,-5.94692155651658,0.431363764158987,0.9,22.1071047762142,-12.19,3.24,1.26,0.86,0.0273444673790936,0.4,0.26,0.23,0.06,0.03
"061007A",1.26,1.87685264760134,-4.35261702988538,1.16435285578444,1.03,21.7418619678783,-8.76,2.17,1.75,1.07,0.0110060930345345,0.03,0.07,0.03,0.01,0.19
"061021A",4.6,1.66464197555613,-5.52870828894106,0.786041210242554,1.3,21.0074279119902,-12.4195,4.823673,1.736351,0.88,0.0191914091839408,0.06,0.0677,0.067494,0.108429,0.03636
"061121A",1.31,1.90982336965091,-4.86327943284359,1.32428245529769,1.41,21.7535156499326,-12.27,3.85,1,0.81,0.00946803135902824,0.03,0.04,0.05,0.01,0.0363
"061126A",1.1588,2.28103336724773,-5.16941133131486,0.989449817666692,1.32,21.3805820432409,-12.3053,3.5801,0.922285,0.82,0.0169090064675446,0.06,0.08165,0.101225,0.025959,0.09
"070110A",2.35,1.94655051056986,-5.79048498545737,-0.221848749616356,1.58,21.3989672022874,-12.9,4.44,0.99,1,0.0868588963806504,0.12,0.06,0.1,0.05,0.14
